issue_type,location_type,duration_days,description,priority
pothole,highway,3,Small pothole near the curb. hazardous,high
pothole,alley,21,"Large pothole on the road, car damage likely. causing accidents",high
pothole,main_road,9,Multiple potholes across the lane,high
streetlight,highway,6,"Flickering streetlight, sparks visible",high
drainage,main_road,1,Standing water near drain after rain. not urgent low priority,low
streetlight,highway,1,Light out on the main road intersection,high
garbage,highway,0,Illegal dumping near drainage. low priority,low
pothole,highway,14,Deep pothole causing vibration to vehicles,high
drainage,highway,6,Drainage blocked with garbage and leaves. low priority,high
streetlight,main_road,8,Pole lamp broken and leaning,medium
pothole,main_road,0,Multiple potholes across the lane,low
garbage,residential,24,Illegal dumping near drainage. low priority,high
pothole,main_road,12,"Large pothole on the road, car damage likely",high
pothole,main_road,1,Multiple potholes across the lane,low
garbage,alley,1,Pile of household waste blocking pedestrian path. hazardous,high
streetlight,alley,1,"Streetlight intermittent, safety concern. causing accidents",high
drainage,alley,2,"Drain clogged, water overflowing onto road",high
drainage,main_road,5,Drainage blocked with garbage and leaves,high
garbage,residential,3,Illegal dumping near drainage. immediate attention needed,medium
streetlight,residential,2,"Streetlight not working at night, area dark. hazardous",high
streetlight,main_road,6,"Streetlight intermittent, safety concern",medium
streetlight,main_road,1,"Flickering streetlight, sparks visible. hazardous",high
pothole,residential,2,"Pothole filled with water, hidden hazard. low priority",low
streetlight,main_road,3,"Streetlight not working at night, area dark. immediate attention needed needs quick fix",medium
pothole,main_road,4,Deep pothole causing vibration to vehicles,medium
drainage,residential,10,Sewage backup overflowing onto street,high
drainage,main_road,1,Standing water near drain after rain. low priority,low
garbage,highway,5,"Garbage dumped near sidewalk, attracting animals. low priority causing accidents",high
drainage,highway,6,"Drain clogged, water overflowing onto road. immediate attention needed",high
pothole,residential,0,"Large pothole on the road, car damage likely",low
garbage,main_road,6,Illegal dumping near drainage. needs quick fix,high
garbage,alley,1,"Garbage dumped near sidewalk, attracting animals. not urgent",low
garbage,alley,0,"Overflowing garbage bin, foul smell",high
pothole,highway,20,"Pothole filled with water, hidden hazard",high
pothole,main_road,23,Deep pothole causing vibration to vehicles. needs quick fix hazardous,high
streetlight,alley,11,"Flickering streetlight, sparks visible. immediate attention needed",high
pothole,highway,2,"Large pothole on the road, car damage likely",low
drainage,alley,0,Drainage blocked with garbage and leaves,low
pothole,main_road,8,"Pothole filled with water, hidden hazard. not urgent",high
garbage,residential,4,Pile of household waste blocking pedestrian path,high
garbage,main_road,0,"Garbage dumped near sidewalk, attracting animals. urgent",low
pothole,residential,4,"Large pothole on the road, car damage likely. needs quick fix",medium
drainage,highway,0,Sewage backup overflowing onto street. hazardous immediate attention needed,high
drainage,alley,16,"Drain clogged, water overflowing onto road",high
pothole,highway,2,"Pothole filled with water, hidden hazard",low
streetlight,residential,7,"Flickering streetlight, sparks visible",high
streetlight,alley,2,"Flickering streetlight, sparks visible",high
streetlight,highway,5,"Streetlight not working at night, area dark",high
pothole,highway,5,Multiple potholes across the lane. please fix soon low priority,medium
pothole,main_road,1,Small pothole near the curb. needs quick fix,low
streetlight,highway,24,"Streetlight intermittent, safety concern. immediate attention needed",high
drainage,residential,10,"Drain clogged, water overflowing onto road",high
drainage,residential,19,Standing water near drain after rain,high
drainage,residential,15,Sewage backup overflowing onto street,high
pothole,highway,6,"Pothole filled with water, hidden hazard. low priority",medium
drainage,residential,17,"Open drainage cover, dangerous for pedestrians",high
garbage,highway,0,"Overflowing garbage bin, foul smell. hazardous",high
streetlight,main_road,1,Light out on the main road intersection. please fix soon,low
pothole,residential,0,Deep pothole causing vibration to vehicles,low
streetlight,alley,2,"Streetlight intermittent, safety concern",low
drainage,main_road,3,"Open drainage cover, dangerous for pedestrians. low priority",medium
garbage,main_road,2,Scattered trash on street after collection missed. immediate attention needed,low
pothole,alley,12,Deep pothole causing vibration to vehicles. needs quick fix,high
