worker_id,feedback_text,sentiment_label,rating,timestamp
worker_2,Thanks — timely resolution and polite staff. It was late regarding timing.,positive,4,2025-09-14T17:21:45.409245
worker_2,The worker fixed the issue quickly and was polite.,positive,5,2025-07-04T17:21:45.409245
worker_5,"Work completed, nothing special to report.",neutral,4,2025-08-13T17:21:45.409245
worker_3,Thanks — timely resolution and polite staff. It was mess regarding cleanliness.,positive,5,2025-08-15T17:21:45.409245
worker_1,"Work completed, nothing special to report.",neutral,3,2025-08-11T17:21:45.409245
worker_10,"Rude behavior and slow service, not satisfied.",negative,3,2025-08-19T17:21:45.409245
worker_5,Poor workmanship; problem came back the next day.,negative,2,2025-06-28T17:21:45.409245
worker_6,Thanks — timely resolution and polite staff. It was poor regarding quality.,positive,4,2025-07-20T17:21:45.410239
worker_7,"Great job: problem solved same day, very professional.",positive,4,2025-08-08T17:21:45.410239
worker_7,"Great job: problem solved same day, very professional.",positive,5,2025-07-16T17:21:45.410239
worker_7,Took too long and didn't clean the area afterwards. It was delayed regarding timing.,negative,3,2025-07-28T17:21:45.410239
worker_6,"Great job: problem solved same day, very professional.",positive,4,2025-08-29T17:21:45.410239
worker_3,Fixed the problem; average experience.,neutral,4,2025-07-20T17:21:45.410239
worker_9,The worker fixed the issue quickly and was polite.,positive,4,2025-08-05T17:21:45.410239
worker_2,"Great job: problem solved same day, very professional.",positive,5,2025-09-04T17:21:45.410239
worker_5,"Issue resolved, standard service. It was wait regarding timing.",neutral,4,2025-09-15T17:21:45.410239
worker_2,"Rude behavior and slow service, not satisfied. It was wait regarding timing.",negative,3,2025-07-17T17:21:45.410239
worker_2,Poor workmanship; problem came back the next day. It was trash regarding cleanliness.,negative,1,2025-07-10T17:21:45.410239
worker_4,Fixed the problem; average experience.,neutral,4,2025-07-22T17:21:45.410239
worker_2,The worker fixed the issue quickly and was polite. It was no update regarding communication.,positive,4,2025-06-19T17:21:45.410239
worker_1,The worker fixed the issue quickly and was polite.,positive,4,2025-06-24T17:21:45.410239
worker_8,"Great job: problem solved same day, very professional.",positive,5,2025-07-27T17:21:45.410239
worker_4,Worker was efficient and explained the fix clearly. It was left debris regarding cleanliness.,positive,4,2025-07-28T17:21:45.410239
worker_6,"Work completed, nothing special to report. It was wait regarding timing.",neutral,3,2025-08-25T17:21:45.410239
worker_5,The worker fixed the issue quickly and was polite.,positive,4,2025-07-10T17:21:45.410239
worker_1,Poor workmanship; problem came back the next day. It was left debris regarding cleanliness.,negative,1,2025-08-27T17:21:45.410239
worker_7,Worker was efficient and explained the fix clearly. It was not cleaned regarding cleanliness.,positive,5,2025-08-24T17:21:45.410239
worker_5,The worker fixed the issue quickly and was polite.,positive,4,2025-09-11T17:21:45.410239
worker_10,"Great job: problem solved same day, very professional. It was rude regarding communication.",positive,4,2025-09-09T17:21:45.410239
worker_4,"Great job: problem solved same day, very professional.",positive,4,2025-06-25T17:21:45.410239
worker_10,"Worker did what was expected, no extra comments.",neutral,4,2025-08-15T17:21:45.410239
worker_7,Thanks — timely resolution and polite staff.,positive,4,2025-06-30T17:21:45.410239
worker_10,The worker arrived late and the issue remains unresolved.,negative,2,2025-09-09T17:21:45.410239
worker_4,"Great job: problem solved same day, very professional.",positive,5,2025-07-09T17:21:45.410239
worker_5,The worker arrived late and the issue remains unresolved.,negative,1,2025-09-04T17:21:45.410239
worker_9,Thanks — timely resolution and polite staff.,positive,5,2025-06-28T17:21:45.410239
worker_5,Thanks — timely resolution and polite staff.,positive,4,2025-07-25T17:21:45.410239
worker_5,Thanks — timely resolution and polite staff.,positive,5,2025-07-23T17:21:45.410239
worker_9,"Work completed, nothing special to report. It was wait regarding timing.",neutral,4,2025-07-09T17:21:45.410239
worker_3,The worker fixed the issue quickly and was polite. It was risk regarding safety.,positive,4,2025-09-04T17:21:45.410239
worker_6,Fixed the problem; average experience.,neutral,3,2025-08-26T17:21:45.410239
worker_7,Thanks — timely resolution and polite staff.,positive,5,2025-08-28T17:21:45.410239
worker_2,The worker fixed the issue quickly and was polite.,positive,4,2025-08-04T17:21:45.410239
worker_5,"Issue resolved, standard service. It was time regarding timing.",neutral,4,2025-08-13T17:21:45.410239
worker_6,Fixed the problem; average experience.,neutral,3,2025-08-15T17:21:45.410239
worker_3,"Worker did what was expected, no extra comments. It was no response regarding communication.",neutral,4,2025-07-02T17:21:45.410239
worker_9,"Great job: problem solved same day, very professional. It was mess regarding cleanliness.",positive,4,2025-09-09T17:21:45.410239
worker_6,"Work completed, nothing special to report.",neutral,4,2025-07-27T17:21:45.410239
worker_6,Thanks — timely resolution and polite staff.,positive,4,2025-07-31T17:21:45.410239
worker_3,"Worker did what was expected, no extra comments.",neutral,4,2025-08-22T17:21:45.410239
worker_7,"Worker did what was expected, no extra comments.",neutral,3,2025-07-19T17:21:45.410239
worker_3,"Worker did what was expected, no extra comments.",neutral,3,2025-06-23T17:21:45.410239
worker_5,"Great job: problem solved same day, very professional. It was hazardous regarding safety.",positive,5,2025-07-26T17:21:45.410239
worker_10,Worker was efficient and explained the fix clearly.,positive,4,2025-06-21T17:21:45.410239
worker_1,The worker arrived late and the issue remains unresolved.,negative,3,2025-07-13T17:21:45.410239
worker_8,"Great job: problem solved same day, very professional.",positive,4,2025-07-20T17:21:45.410239
worker_9,"Rude behavior and slow service, not satisfied.",negative,3,2025-07-22T17:21:45.410239
worker_3,Fixed the problem; average experience.,neutral,4,2025-07-17T17:21:45.410239
worker_4,The worker fixed the issue quickly and was polite.,positive,4,2025-08-08T17:21:45.410239
worker_9,"Great job: problem solved same day, very professional. It was delayed regarding timing.",positive,4,2025-08-06T17:21:45.410239
worker_9,The worker fixed the issue quickly and was polite. It was left debris regarding cleanliness.,positive,4,2025-09-17T17:21:45.410239
worker_6,Worker was efficient and explained the fix clearly.,positive,5,2025-08-20T17:21:45.410239
worker_5,The worker fixed the issue quickly and was polite. It was trash regarding cleanliness.,positive,5,2025-07-11T17:21:45.410239
worker_1,The worker arrived late and the issue remains unresolved. It was trash regarding cleanliness.,negative,1,2025-08-15T17:21:45.410239
worker_7,Worker was efficient and explained the fix clearly. It was not cleaned regarding cleanliness.,positive,5,2025-07-19T17:21:45.410239
worker_1,"Work completed, nothing special to report.",neutral,3,2025-09-09T17:21:45.410239
worker_1,"Issue resolved, standard service. It was unsafe regarding safety.",neutral,3,2025-07-19T17:21:45.410239
worker_2,"Issue resolved, standard service.",neutral,4,2025-07-02T17:21:45.410239
worker_10,The worker arrived late and the issue remains unresolved.,negative,1,2025-07-05T17:21:45.410239
worker_1,Took too long and didn't clean the area afterwards. It was late regarding timing.,negative,3,2025-08-10T17:21:45.410239
worker_10,"Work completed, nothing special to report. It was not cleaned regarding cleanliness.",neutral,4,2025-07-26T17:21:45.410239
